YPF,Tenaris,Telecom,PetrAR,PampaE,B.Gal,B.Fran,Siderar,EDN,COME,B.Macro,PetrBR,Aluar
125,75.5,16.9,7.1,2.55,2.65,10.25,1.55,3.28,0.54,9.05,47.5,4.77
111,72,13.9,7.4,2.36,2.4,9.5,1.61,3.05,0.55,8.12,44.75,4.27
123.2,77.8,13.65,7.53,2.6,2.58,9.7,1.68,3.25,0.63,9.15,49,4.61
130,75,13.2,7.6,2.72,2.78,10.3,1.62,3.28,0.59,9.15,50,4.7
134.5,77,13.95,8.05,2.76,2.83,10.7,1.71,3.4,0.58,8.9,51.25,4.66
142,78,14.25,8.3,3,3.07,11.2,1.69,3.64,0.55,10.05,55,4.87
141,79.3,14.8,8.3,2.98,3.06,11.15,1.72,3.82,0.5,10.3,53,5.12
139,79,15.5,9.1,2.79,3,10.9,1.72,3.42,0.48,10.2,51.75,5.15
139,75.6,15.3,8,2.79,2.99,11.05,1.75,3.17,0.46,10.3,48.25,4.86
139.5,73.3,15.55,7.8,2.82,3.07,11.1,1.76,3.34,0.46,10.25,46.25,4.82
